system:index,Dormancy,EVI_Amplitude,EVI_Area,EVI_Minimum,Greenup,Maturity,MidGreendown,MidGreenup,Peak,Senescence,bio01,bio02,bio03,bio04,bio05,bio06,bio07,bio08,bio09,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,census_date,country_iso3,elevation,hnd,latitude_of_centre,longitude_of_centre,plot_area,plot_id,plot_shape,tpi,wetmonths_era,.geo
00000000000000000008_0_0,17367.545454545456,4930.636363636364,332.6363636363636,1403.7272727272727,17116.18181818182,17192.272727272728,17300.0,17155.636363636364,17218.545454545456,17250.090909090908,230.0,122.0,61.0,2276.0,330.0,130.0,200.0,248.0,209.0,254.0,197.0,1288.0,265.0,12.0,94.0,763.0,42.0,373.0,49.0,2015,MOZ,677,2.7999878,-15.278989,36.517193,0.125663706143592,MAR_10,circle,-27,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000009_0_0,17367.545454545456,4930.636363636364,332.6363636363636,1403.7272727272727,17116.18181818182,17192.272727272728,17300.0,17155.636363636364,17218.545454545456,17250.090909090908,230.0,122.0,61.0,2276.0,330.0,130.0,200.0,248.0,209.0,254.0,197.0,1288.0,265.0,12.0,94.0,763.0,42.0,373.0,49.0,2015,MOZ,677,2.7999878,-15.255569,36.535876,0.125663706143592,MAR_11,circle,-27,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000a_0_0,17367.545454545456,4930.636363636364,332.6363636363636,1403.7272727272727,17116.18181818182,17192.272727272728,17300.0,17155.636363636364,17218.545454545456,17250.090909090908,230.0,122.0,61.0,2276.0,330.0,130.0,200.0,248.0,209.0,254.0,197.0,1288.0,265.0,12.0,94.0,763.0,42.0,373.0,49.0,2015,MOZ,677,2.7999878,-15.257395,36.535874,0.125663706143592,MAR_12,circle,-27,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000013_0_0,17353.81818181818,4865.090909090909,322.8181818181818,1200.0,17125.81818181818,17191.636363636364,17304.272727272728,17154.0,17220.272727272728,17256.363636363636,234.0,124.0,60.0,2367.0,336.0,132.0,204.0,252.0,213.0,259.0,199.0,1162.0,251.0,9.0,99.0,716.0,31.0,338.0,35.0,2015,MOZ,616,12.299988,-15.1794,36.600052,0.125663706143592,MAR_24,circle,0,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000014_0_0,17353.81818181818,4865.090909090909,322.8181818181818,1200.0,17125.81818181818,17191.636363636364,17304.272727272728,17154.0,17220.272727272728,17256.363636363636,234.0,124.0,60.0,2367.0,336.0,132.0,204.0,252.0,213.0,259.0,199.0,1162.0,251.0,9.0,99.0,716.0,31.0,338.0,35.0,2015,MOZ,616,12.299988,-15.177598,36.600099,0.125663706143592,MAR_25,circle,0,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000016_0_0,17362.454545454544,4615.909090909091,308.45454545454544,1353.5454545454545,17126.636363636364,17196.81818181818,17301.636363636364,17159.545454545456,17225.0,17257.0,229.0,122.0,61.0,2306.0,330.0,130.0,200.0,247.0,207.0,252.0,194.0,1419.0,278.0,15.0,89.0,801.0,56.0,402.0,67.0,2015,MOZ,684,12.0,-15.315722,36.614249,0.125663706143592,MAR_27,circle,-9,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000017_0_0,17362.454545454544,4615.909090909091,308.45454545454544,1353.5454545454545,17126.636363636364,17196.81818181818,17301.636363636364,17159.545454545456,17225.0,17257.0,229.0,122.0,61.0,2306.0,330.0,130.0,200.0,247.0,207.0,252.0,194.0,1419.0,278.0,15.0,89.0,801.0,56.0,402.0,67.0,2015,MOZ,684,12.0,-15.31391,36.614274,0.125663706143592,MAR_28,circle,-9,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000018_0_0,17362.454545454544,4615.909090909091,308.45454545454544,1353.5454545454545,17126.636363636364,17196.81818181818,17301.636363636364,17159.545454545456,17225.0,17257.0,229.0,122.0,61.0,2306.0,330.0,130.0,200.0,247.0,207.0,252.0,194.0,1419.0,278.0,15.0,89.0,801.0,56.0,402.0,67.0,2015,MOZ,684,12.0,-15.317267,36.624573,0.125663706143592,MAR_30,circle,-9,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000019_0_0,17362.454545454544,4615.909090909091,308.45454545454544,1353.5454545454545,17126.636363636364,17196.81818181818,17301.636363636364,17159.545454545456,17225.0,17257.0,229.0,122.0,61.0,2306.0,330.0,130.0,200.0,247.0,207.0,252.0,194.0,1419.0,278.0,15.0,89.0,801.0,56.0,402.0,67.0,2015,MOZ,684,12.0,-15.315461,36.6246,0.125663706143592,MAR_31,circle,-9,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001a_0_0,17353.81818181818,4865.090909090909,322.8181818181818,1200.0,17125.81818181818,17191.636363636364,17304.272727272728,17154.0,17220.272727272728,17256.363636363636,234.0,124.0,60.0,2367.0,336.0,132.0,204.0,252.0,213.0,259.0,199.0,1162.0,251.0,9.0,99.0,716.0,31.0,338.0,35.0,2015,MOZ,616,12.299988,-15.186064,36.627062,0.125663706143592,MAR_32,circle,0,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001b_0_0,17353.81818181818,4865.090909090909,322.8181818181818,1200.0,17125.81818181818,17191.636363636364,17304.272727272728,17154.0,17220.272727272728,17256.363636363636,234.0,124.0,60.0,2367.0,336.0,132.0,204.0,252.0,213.0,259.0,199.0,1162.0,251.0,9.0,99.0,716.0,31.0,338.0,35.0,2015,MOZ,616,12.299988,-15.187868,36.627075,0.125663706143592,MAR_33,circle,0,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001c_0_0,17353.81818181818,4865.090909090909,322.8181818181818,1200.0,17125.81818181818,17191.636363636364,17304.272727272728,17154.0,17220.272727272728,17256.363636363636,234.0,124.0,60.0,2367.0,336.0,132.0,204.0,252.0,213.0,259.0,199.0,1162.0,251.0,9.0,99.0,716.0,31.0,338.0,35.0,2015,MOZ,616,12.299988,-15.178692,36.62822,0.125663706143592,MAR_34,circle,0,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001d_0_0,17353.81818181818,4865.090909090909,322.8181818181818,1200.0,17125.81818181818,17191.636363636364,17304.272727272728,17154.0,17220.272727272728,17256.363636363636,234.0,124.0,60.0,2367.0,336.0,132.0,204.0,252.0,213.0,259.0,199.0,1162.0,251.0,9.0,99.0,716.0,31.0,338.0,35.0,2015,MOZ,616,12.299988,-15.176818,36.628413,0.125663706143592,MAR_35,circle,0,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001e_0_0,17353.81818181818,4865.090909090909,322.8181818181818,1200.0,17125.81818181818,17191.636363636364,17304.272727272728,17154.0,17220.272727272728,17256.363636363636,234.0,124.0,60.0,2367.0,336.0,132.0,204.0,252.0,213.0,259.0,199.0,1162.0,251.0,9.0,99.0,716.0,31.0,338.0,35.0,2015,MOZ,616,12.299988,-15.185206,36.628595,0.125663706143592,MAR_36,circle,0,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000001f_0_0,17353.81818181818,4865.090909090909,322.8181818181818,1200.0,17125.81818181818,17191.636363636364,17304.272727272728,17154.0,17220.272727272728,17256.363636363636,234.0,124.0,60.0,2367.0,336.0,132.0,204.0,252.0,213.0,259.0,199.0,1162.0,251.0,9.0,99.0,716.0,31.0,338.0,35.0,2015,MOZ,616,12.299988,-15.157387,36.631452,0.125663706143592,MAR_37,circle,0,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000020_0_0,17353.81818181818,4865.090909090909,322.8181818181818,1200.0,17125.81818181818,17191.636363636364,17304.272727272728,17154.0,17220.272727272728,17256.363636363636,234.0,124.0,60.0,2367.0,336.0,132.0,204.0,252.0,213.0,259.0,199.0,1162.0,251.0,9.0,99.0,716.0,31.0,338.0,35.0,2015,MOZ,616,12.299988,-15.159184,36.631447,0.125663706143592,MAR_38,circle,0,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000021_0_0,17353.81818181818,4865.090909090909,322.8181818181818,1200.0,17125.81818181818,17191.636363636364,17304.272727272728,17154.0,17220.272727272728,17256.363636363636,234.0,124.0,60.0,2367.0,336.0,132.0,204.0,252.0,213.0,259.0,199.0,1162.0,251.0,9.0,99.0,716.0,31.0,338.0,35.0,2015,MOZ,616,12.299988,-15.166776,36.637088,0.125663706143592,MAR_39,circle,0,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000022_0_0,17353.81818181818,4865.090909090909,322.8181818181818,1200.0,17125.81818181818,17191.636363636364,17304.272727272728,17154.0,17220.272727272728,17256.363636363636,234.0,124.0,60.0,2367.0,336.0,132.0,204.0,252.0,213.0,259.0,199.0,1162.0,251.0,9.0,99.0,716.0,31.0,338.0,35.0,2015,MOZ,616,12.299988,-15.164971,36.637112,0.125663706143592,MAR_40,circle,0,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000023_0_0,17353.81818181818,4865.090909090909,322.8181818181818,1200.0,17125.81818181818,17191.636363636364,17304.272727272728,17154.0,17220.272727272728,17256.363636363636,234.0,124.0,60.0,2367.0,336.0,132.0,204.0,252.0,213.0,259.0,199.0,1162.0,251.0,9.0,99.0,716.0,31.0,338.0,35.0,2015,MOZ,616,12.299988,-15.181983,36.637962,0.125663706143592,MAR_41,circle,0,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000024_0_0,17353.81818181818,4865.090909090909,322.8181818181818,1200.0,17125.81818181818,17191.636363636364,17304.272727272728,17154.0,17220.272727272728,17256.363636363636,234.0,124.0,60.0,2367.0,336.0,132.0,204.0,252.0,213.0,259.0,199.0,1162.0,251.0,9.0,99.0,716.0,31.0,338.0,35.0,2015,MOZ,616,12.299988,-15.177583,36.639165,0.125663706143592,MAR_42,circle,0,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000025_0_0,17353.81818181818,4865.090909090909,322.8181818181818,1200.0,17125.81818181818,17191.636363636364,17304.272727272728,17154.0,17220.272727272728,17256.363636363636,234.0,124.0,60.0,2367.0,336.0,132.0,204.0,252.0,213.0,259.0,199.0,1162.0,251.0,9.0,99.0,716.0,31.0,338.0,35.0,2015,MOZ,616,12.299988,-15.191554,36.639347,0.125663706143592,MAR_43,circle,0,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000026_0_0,17353.81818181818,4865.090909090909,322.8181818181818,1200.0,17125.81818181818,17191.636363636364,17304.272727272728,17154.0,17220.272727272728,17256.363636363636,234.0,124.0,60.0,2367.0,336.0,132.0,204.0,252.0,213.0,259.0,199.0,1162.0,251.0,9.0,99.0,716.0,31.0,338.0,35.0,2015,MOZ,616,12.299988,-15.15255,36.639996,0.125663706143592,MAR_44,circle,0,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000027_0_0,17353.81818181818,4865.090909090909,322.8181818181818,1200.0,17125.81818181818,17191.636363636364,17304.272727272728,17154.0,17220.272727272728,17256.363636363636,234.0,124.0,60.0,2367.0,336.0,132.0,204.0,252.0,213.0,259.0,199.0,1162.0,251.0,9.0,99.0,716.0,31.0,338.0,35.0,2015,MOZ,616,12.299988,-15.154373,36.639978,0.125663706143592,MAR_45,circle,0,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000028_0_0,17353.81818181818,4865.090909090909,322.8181818181818,1200.0,17125.81818181818,17191.636363636364,17304.272727272728,17154.0,17220.272727272728,17256.363636363636,234.0,124.0,60.0,2367.0,336.0,132.0,204.0,252.0,213.0,259.0,199.0,1162.0,251.0,9.0,99.0,716.0,31.0,338.0,35.0,2015,MOZ,616,12.299988,-15.158788,36.642421,0.125663706143592,MAR_46,circle,0,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000029_0_0,17353.81818181818,4865.090909090909,322.8181818181818,1200.0,17125.81818181818,17191.636363636364,17304.272727272728,17154.0,17220.272727272728,17256.363636363636,234.0,124.0,60.0,2367.0,336.0,132.0,204.0,252.0,213.0,259.0,199.0,1162.0,251.0,9.0,99.0,716.0,31.0,338.0,35.0,2015,MOZ,616,12.299988,-15.160372,36.642437,0.125663706143592,MAR_47,circle,0,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002a_0_0,17363.81818181818,4450.181818181818,288.3636363636364,1350.0,17126.454545454544,17194.454545454544,17305.090909090908,17156.727272727272,17221.090909090908,17256.909090909092,231.0,122.0,60.0,2323.0,332.0,131.0,201.0,248.0,209.0,255.0,197.0,1278.0,262.0,12.0,93.0,755.0,42.0,369.0,49.0,2015,MOZ,665,20.100037,-15.264528,36.643259,0.125663706143592,MAR_48,circle,5,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002b_0_0,17363.81818181818,4450.181818181818,288.3636363636364,1350.0,17126.454545454544,17194.454545454544,17305.090909090908,17156.727272727272,17221.090909090908,17256.909090909092,231.0,122.0,60.0,2323.0,332.0,131.0,201.0,248.0,209.0,255.0,197.0,1278.0,262.0,12.0,93.0,755.0,42.0,369.0,49.0,2015,MOZ,665,20.100037,-15.262879,36.643376,0.125663706143592,MAR_49,circle,5,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002c_0_0,17353.81818181818,4865.090909090909,322.8181818181818,1200.0,17125.81818181818,17191.636363636364,17304.272727272728,17154.0,17220.272727272728,17256.363636363636,234.0,124.0,60.0,2367.0,336.0,132.0,204.0,252.0,213.0,259.0,199.0,1162.0,251.0,9.0,99.0,716.0,31.0,338.0,35.0,2015,MOZ,616,12.299988,-15.185207,36.647416,0.125663706143592,MAR_50,circle,0,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002d_0_0,17353.81818181818,4865.090909090909,322.8181818181818,1200.0,17125.81818181818,17191.636363636364,17304.272727272728,17154.0,17220.272727272728,17256.363636363636,234.0,124.0,60.0,2367.0,336.0,132.0,204.0,252.0,213.0,259.0,199.0,1162.0,251.0,9.0,99.0,716.0,31.0,338.0,35.0,2015,MOZ,616,12.299988,-15.173652,36.648421,0.125663706143592,MAR_51,circle,0,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002e_0_0,17353.81818181818,4865.090909090909,322.8181818181818,1200.0,17125.81818181818,17191.636363636364,17304.272727272728,17154.0,17220.272727272728,17256.363636363636,234.0,124.0,60.0,2367.0,336.0,132.0,204.0,252.0,213.0,259.0,199.0,1162.0,251.0,9.0,99.0,716.0,31.0,338.0,35.0,2015,MOZ,616,12.299988,-15.188365,36.654014,0.125663706143592,MAR_52,circle,0,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000002f_0_0,17353.81818181818,4865.090909090909,322.8181818181818,1200.0,17125.81818181818,17191.636363636364,17304.272727272728,17154.0,17220.272727272728,17256.363636363636,234.0,124.0,60.0,2367.0,336.0,132.0,204.0,252.0,213.0,259.0,199.0,1162.0,251.0,9.0,99.0,716.0,31.0,338.0,35.0,2015,MOZ,616,12.299988,-15.179872,36.65628,0.125663706143592,MAR_53,circle,0,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000030_0_0,17362.454545454544,4615.909090909091,308.45454545454544,1353.5454545454545,17126.636363636364,17196.81818181818,17301.636363636364,17159.545454545456,17225.0,17257.0,229.0,122.0,61.0,2306.0,330.0,130.0,200.0,247.0,207.0,252.0,194.0,1419.0,278.0,15.0,89.0,801.0,56.0,402.0,67.0,2015,MOZ,684,12.0,-15.315685,36.655885,0.125663706143592,MAR_54,circle,-9,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000031_0_0,17363.81818181818,4450.181818181818,288.3636363636364,1350.0,17126.454545454544,17194.454545454544,17305.090909090908,17156.727272727272,17221.090909090908,17256.909090909092,231.0,122.0,60.0,2323.0,332.0,131.0,201.0,248.0,209.0,255.0,197.0,1278.0,262.0,12.0,93.0,755.0,42.0,369.0,49.0,2015,MOZ,665,20.100037,-15.287222,36.658705,0.125663706143592,MAR_56,circle,5,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000032_0_0,17363.81818181818,4450.181818181818,288.3636363636364,1350.0,17126.454545454544,17194.454545454544,17305.090909090908,17156.727272727272,17221.090909090908,17256.909090909092,231.0,122.0,60.0,2323.0,332.0,131.0,201.0,248.0,209.0,255.0,197.0,1278.0,262.0,12.0,93.0,755.0,42.0,369.0,49.0,2015,MOZ,665,20.100037,-15.285396,36.658726,0.125663706143592,MAR_57,circle,5,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000033_0_0,17353.81818181818,4865.090909090909,322.8181818181818,1200.0,17125.81818181818,17191.636363636364,17304.272727272728,17154.0,17220.272727272728,17256.363636363636,234.0,124.0,60.0,2367.0,336.0,132.0,204.0,252.0,213.0,259.0,199.0,1162.0,251.0,9.0,99.0,716.0,31.0,338.0,35.0,2015,MOZ,616,12.299988,-15.176882,36.661331,0.125663706143592,MAR_58,circle,0,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000034_0_0,17363.81818181818,4450.181818181818,288.3636363636364,1350.0,17126.454545454544,17194.454545454544,17305.090909090908,17156.727272727272,17221.090909090908,17256.909090909092,231.0,122.0,60.0,2323.0,332.0,131.0,201.0,248.0,209.0,255.0,197.0,1278.0,262.0,12.0,93.0,755.0,42.0,369.0,49.0,2015,MOZ,665,20.100037,-15.304241,36.662298,0.125663706143592,MAR_59,circle,5,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000035_0_0,17363.81818181818,4450.181818181818,288.3636363636364,1350.0,17126.454545454544,17194.454545454544,17305.090909090908,17156.727272727272,17221.090909090908,17256.909090909092,231.0,122.0,60.0,2323.0,332.0,131.0,201.0,248.0,209.0,255.0,197.0,1278.0,262.0,12.0,93.0,755.0,42.0,369.0,49.0,2015,MOZ,665,20.100037,-15.302446,36.662327,0.125663706143592,MAR_60,circle,5,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000036_0_0,17353.81818181818,4865.090909090909,322.8181818181818,1200.0,17125.81818181818,17191.636363636364,17304.272727272728,17154.0,17220.272727272728,17256.363636363636,234.0,124.0,60.0,2367.0,336.0,132.0,204.0,252.0,213.0,259.0,199.0,1162.0,251.0,9.0,99.0,716.0,31.0,338.0,35.0,2015,MOZ,616,12.299988,-15.175144,36.665955,0.125663706143592,MAR_61,circle,0,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000037_0_0,17353.81818181818,4865.090909090909,322.8181818181818,1200.0,17125.81818181818,17191.636363636364,17304.272727272728,17154.0,17220.272727272728,17256.363636363636,234.0,124.0,60.0,2367.0,336.0,132.0,204.0,252.0,213.0,259.0,199.0,1162.0,251.0,9.0,99.0,716.0,31.0,338.0,35.0,2015,MOZ,616,12.299988,-15.183121,36.668777,0.125663706143592,MAR_62,circle,0,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000038_0_0,17353.81818181818,4865.090909090909,322.8181818181818,1200.0,17125.81818181818,17191.636363636364,17304.272727272728,17154.0,17220.272727272728,17256.363636363636,234.0,124.0,60.0,2367.0,336.0,132.0,204.0,252.0,213.0,259.0,199.0,1162.0,251.0,9.0,99.0,716.0,31.0,338.0,35.0,2015,MOZ,616,12.299988,-15.151132,36.671082,0.125663706143592,MAR_63,circle,0,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000039_0_0,17353.81818181818,4865.090909090909,322.8181818181818,1200.0,17125.81818181818,17191.636363636364,17304.272727272728,17154.0,17220.272727272728,17256.363636363636,234.0,124.0,60.0,2367.0,336.0,132.0,204.0,252.0,213.0,259.0,199.0,1162.0,251.0,9.0,99.0,716.0,31.0,338.0,35.0,2015,MOZ,616,12.299988,-15.149324,36.671117,0.125663706143592,MAR_64,circle,0,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003c_0_0,17381.636363636364,4287.727272727273,300.8181818181818,1430.909090909091,17136.909090909092,17209.454545454544,17317.363636363636,17166.909090909092,17237.545454545456,17267.272727272728,229.0,122.0,61.0,2292.0,330.0,131.0,199.0,246.0,207.0,253.0,195.0,1295.0,265.0,13.0,93.0,756.0,45.0,370.0,52.0,2015,MOZ,667,0.0,-15.246798,36.675191,0.125663706143592,MAR_67,circle,-5,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003d_0_0,17381.636363636364,4287.727272727273,300.8181818181818,1430.909090909091,17136.909090909092,17209.454545454544,17317.363636363636,17166.909090909092,17237.545454545456,17267.272727272728,229.0,122.0,61.0,2292.0,330.0,131.0,199.0,246.0,207.0,253.0,195.0,1295.0,265.0,13.0,93.0,756.0,45.0,370.0,52.0,2015,MOZ,667,0.0,-15.244971,36.675229,0.125663706143592,MAR_68,circle,-5,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003e_0_0,17381.636363636364,4287.727272727273,300.8181818181818,1430.909090909091,17136.909090909092,17209.454545454544,17317.363636363636,17166.909090909092,17237.545454545456,17267.272727272728,229.0,122.0,61.0,2292.0,330.0,131.0,199.0,246.0,207.0,253.0,195.0,1295.0,265.0,13.0,93.0,756.0,45.0,370.0,52.0,2015,MOZ,667,0.0,-15.261528,36.679144,0.125663706143592,MAR_69,circle,-5,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000003f_0_0,17381.636363636364,4287.727272727273,300.8181818181818,1430.909090909091,17136.909090909092,17209.454545454544,17317.363636363636,17166.909090909092,17237.545454545456,17267.272727272728,229.0,122.0,61.0,2292.0,330.0,131.0,199.0,246.0,207.0,253.0,195.0,1295.0,265.0,13.0,93.0,756.0,45.0,370.0,52.0,2015,MOZ,667,0.0,-15.256741,36.68744,0.125663706143592,MAR_71,circle,-5,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000040_0_0,17381.636363636364,4287.727272727273,300.8181818181818,1430.909090909091,17136.909090909092,17209.454545454544,17317.363636363636,17166.909090909092,17237.545454545456,17267.272727272728,229.0,122.0,61.0,2292.0,330.0,131.0,199.0,246.0,207.0,253.0,195.0,1295.0,265.0,13.0,93.0,756.0,45.0,370.0,52.0,2015,MOZ,667,0.0,-15.257016,36.69015,0.125663706143592,MAR_72,circle,-5,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
